Processed: Particle 25, Iteration 0, Reevaluation 1010, port1259
Processed: Particle 11, Iteration 0, Reevaluation 2, port1247
Processed: Particle 19, Iteration 0, Reevaluation 2, port1255
Processed: Particle 20, Iteration 0, Reevaluation 2, port1256
Processed: Particle 7, Iteration 0, Reevaluation 2, port1243
Processed: Particle 21, Iteration 0, Reevaluation 2, port1257
Processed: Particle 11, Iteration 0, Reevaluation 3, port1248
Processed: Particle 20, Iteration 0, Reevaluation 3, port1257
Processed: Particle 19, Iteration 0, Reevaluation 3, port1256
Processed: Particle 7, Iteration 0, Reevaluation 3, port1244
Processed: Particle 21, Iteration 0, Reevaluation 3, port1258
Processed: Particle 11, Iteration 0, Reevaluation 4, port1249
Processed: Particle 20, Iteration 0, Reevaluation 4, port1258
Processed: Particle 19, Iteration 0, Reevaluation 4, port1257
Processed: Particle 7, Iteration 0, Reevaluation 4, port1245
Processed: Particle 21, Iteration 0, Reevaluation 4, port1259
Processed: Particle 11, Iteration 0, Reevaluation 5, port1250
Processed: Particle 19, Iteration 0, Reevaluation 5, port1258
Processed: Particle 20, Iteration 0, Reevaluation 5, port1259
Processed: Particle 7, Iteration 0, Reevaluation 5, port1246
Processed: Particle 21, Iteration 0, Reevaluation 5, port1260
Processed: Particle 11, Iteration 0, Reevaluation 6, port1251
Processed: Particle 19, Iteration 0, Reevaluation 6, port1259
Processed: Particle 20, Iteration 0, Reevaluation 6, port1260
Processed: Particle 7, Iteration 0, Reevaluation 6, port1247
Processed: Particle 21, Iteration 0, Reevaluation 6, port1261
Processed: Particle 11, Iteration 0, Reevaluation 7, port1252
Processed: Particle 19, Iteration 0, Reevaluation 7, port1260
Processed: Particle 20, Iteration 0, Reevaluation 7, port1261
Processed: Particle 7, Iteration 0, Reevaluation 7, port1248
Processed: Particle 21, Iteration 0, Reevaluation 7, port1262
Processed: Particle 11, Iteration 0, Reevaluation 8, port1253
Processed: Particle 19, Iteration 0, Reevaluation 8, port1261
Processed: Particle 20, Iteration 0, Reevaluation 8, port1262
Processed: Particle 7, Iteration 0, Reevaluation 8, port1249
Processed: Particle 21, Iteration 0, Reevaluation 8, port1263
Processed: Particle 20, Iteration 0, Reevaluation 9, port1263
Processed: Particle 19, Iteration 0, Reevaluation 9, port1262
Processed: Particle 11, Iteration 0, Reevaluation 9, port1254
Processed: Particle 7, Iteration 0, Reevaluation 9, port1250
Processed: Particle 21, Iteration 0, Reevaluation 9, port1264
Processed: Particle 20, Iteration 0, Reevaluation 10, port1254
Processed: Particle 19, Iteration 0, Reevaluation 10, port1253
Processed: Particle 11, Iteration 0, Reevaluation 10, port1245
Processed: Particle 7, Iteration 0, Reevaluation 10, port1241
Processed: Particle 21, Iteration 0, Reevaluation 10, port1255
Processed: Particle 11, Iteration 0, Reevaluation 11, port1246
Processed: Particle 19, Iteration 0, Reevaluation 11, port1254
Processed: Particle 20, Iteration 0, Reevaluation 11, port1255
Processed: Particle 7, Iteration 0, Reevaluation 11, port1242
Processed: Particle 21, Iteration 0, Reevaluation 11, port1256
Processed: Particle 2, Iteration 1, Reevaluation 1001, port1237
Processed: Particle 1, Iteration 1, Reevaluation 1001, port1236
Processed: Particle 3, Iteration 1, Reevaluation 1001, port1238
Processed: Particle 4, Iteration 1, Reevaluation 1001, port1239
Processed: Particle 5, Iteration 1, Reevaluation 1001, port1240
Processed: Particle 7, Iteration 1, Reevaluation 1001, port1242
Processed: Particle 6, Iteration 1, Reevaluation 1001, port1241
Processed: Particle 9, Iteration 1, Reevaluation 1001, port1244
Processed: Particle 10, Iteration 1, Reevaluation 1001, port1245
Processed: Particle 8, Iteration 1, Reevaluation 1001, port1243
Processed: Particle 12, Iteration 1, Reevaluation 1001, port1247
Processed: Particle 11, Iteration 1, Reevaluation 1001, port1246
Processed: Particle 13, Iteration 1, Reevaluation 1001, port1248
Processed: Particle 14, Iteration 1, Reevaluation 1001, port1249
Processed: Particle 16, Iteration 1, Reevaluation 1001, port1251
Processed: Particle 15, Iteration 1, Reevaluation 1001, port1250
Processed: Particle 18, Iteration 1, Reevaluation 1001, port1253
Processed: Particle 17, Iteration 1, Reevaluation 1001, port1252
Processed: Particle 20, Iteration 1, Reevaluation 1001, port1255
Processed: Particle 19, Iteration 1, Reevaluation 1001, port1254
Processed: Particle 23, Iteration 1, Reevaluation 1001, port1258
Processed: Particle 21, Iteration 1, Reevaluation 1001, port1256
Processed: Particle 22, Iteration 1, Reevaluation 1001, port1257
Processed: Particle 24, Iteration 1, Reevaluation 1001, port1259
Processed: Particle 25, Iteration 1, Reevaluation 1001, port1260
Processed: Particle 2, Iteration 1, Reevaluation 1002, port1238
Processed: Particle 1, Iteration 1, Reevaluation 1002, port1237
Processed: Particle 3, Iteration 1, Reevaluation 1002, port1239
